id,alt_name,base_name,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,sample_type,label,reason
08f29a4d66d26d9903959dd6a159ac71,La Villa Cafe Bar,La Villa Con Sabor A Cafe,Boulevard Benito Juárez 4356,"Bulevar Benito Juarez #4356 Int #3",Playas de Rosarito,,cafe,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",0.9837452982267598,1.0,conflict,"",""
08f2a963292692c0033e8eb7f4a3a9f4,Jim Shaffer Realty LLC,Jim Shaffer Realty,11661 State Route 707,11661 State Route 707,Mendon,OH,property_management,Business and Professional Services > Real Estate Service > Property Management Office,0.9544061302681992,1.0,conflict,"",""
08f26c84401a416e03eb1dc0009a8062,Kenos Express,Keno's Express,718 Hercules Ln,718 Hercules Ln,Denton,TX,convenience_store,Travel and Transportation > Fuel Station,0.9544061302681992,1.0,conflict,"",""
08fa81955b34a9b303580e4545ded3f2,UBS Vila Elvira,UBS Vila Elvira - São José Do Rio Preto,,,,,health_and_medical,Health and Medicine > Emergency Service > Emergency Room,0.48103896103896104,1.0,conflict,"",""
08f44a910b2f5a6503fa476a6c499b61,Amscot,Amscot - The Money Superstore,11500 Orange Blossom Trl S,11500 South Orange Blossom Trail,Orlando,FL,installment_loans,Business and Professional Services > Financial Service,0.9837452982267598,1.0,conflict,"",""
2251799814046837,Applebee's,Applebee's Grill + Bar,4203 Winnetka Ave N,4203 Winnetka Ave N,New Hope,MN,pub,pub,0.77,0.77,conflict,"",""
08f1e805a9c6c76c0362cba6f29b724f,Toscano Tor de Cenci Spinaceto,Toscano,"Via di Mezzocammino, 197/199",Via di Mezzocammino 197 199,,,commercial_real_estate,,0.9918379237288135,1.0,conflict,"",""
08f1f99ce166d833032db8b644198dd4,Dercole Pneumatici Autofficina Castrol Service,Dercole Pneumatici,"Via Alessandrina, 71","Via Alessandrina, 71",Cusano Milanino,25,automotive_repair,Business and Professional Services > Automotive Service > Automotive Repair Shop,0.9837452982267598,1.0,conflict,"",""
08f2e6cba0b345400310a25fb96b017d,サンジョイ,サンジョイ 徳島店,徳島県徳島市三軒屋町下分５７,三軒屋町下分57,徳島市,,sporting_goods,Retail > Sporting Goods Retail > Fishing Store,0.9467515923566879,1.0,conflict,"",""
08f268cc1bab618403bf8f2c6e189353,En-spire Nutrition,En-spire Nutrition Centennial,8168 S Holly St,8168 S Holly St Ste B,Centennial,CO,cafe,cafe,0.9962614185921548,0.77,conflict,"",""
08f08f02c0755b89034609eac48d4092,Mecra Consult AB,Mecra Consult,Verkstadsvägen 13,Verkstadsv. 13,Skellefteå,,pest_control_service,Retail,0.9645127118644068,1.0,conflict,"",""
08f2a1005ec5b25103c6d1cfddf2e8a1,Star Chrysler Dodge Jeep Ram,Star Chrysler Jeep Dodge Ram,21110 Jamaica Ave,211-10 Jamaica Avenue,Queens Village,NY,automotive,Retail > Automotive Retail > Car Dealership,0.77,1.0,conflict,"",""
08f260e2096121120300fe38e9d19185,Remington Heights Retirement Community,Remington Heights,12606 W Dodge Rd,12606 W Dodge Rd,Omaha,NE,retirement_home,Landmarks and Outdoors > States and Municipalities > Neighborhood,0.997898979043525,1.0,conflict,"",""
08f8b221a404320d03b459bdb2275ea1,Etcetera BAR,Etcetera,"Calle Chuquisaca, casi esquina Moldes",C. Chuquisaca casi C. Moldes,Santa Cruz de la Sierra,,bar,Dining and Drinking > Bar,0.28671328671328666,1.0,conflict,"",""
08f2e1bb53003ceb0382c5dc1162d7a5,ビジネスホテル・キャッスル,ビジネスホテルキャッスル,山下町147,山下町147-7,,,hotel,Travel and Transportation > Lodging > Bed and Breakfast,0.9837452982267598,1.0,conflict,"",""
08f2a120ca2ae36c03063f6dab55a04b,Green Leaf's,Green Leaf's Beyond Great Salads,77 Sands Blvd,77 Sands Blvd,Bethlehem,PA,salad_bar,Dining and Drinking > Restaurant > Salad Restaurant,0.77,1.0,conflict,"",""
08f28d558d2e0d15030d644d8058d55b,Elegante Jewelry Manufacturing and Loan Inc.,Elegante Jewelry,14320 NE 20th St Ste D,14320 - 120th NE,Bellevue,WA,jewelry_store,Retail > Fashion Retail > Jewelry Store,0.77,1.0,conflict,"",""
08f441ac5028341503f0b847ac0f6f93,AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,428 W Brandon Blvd,428 W Brandon Blvd,Brandon,FL,hospital,hospital,0.9895134099616858,0.77,conflict,"",""
08f29a56e9b8250903db13b0cdb9d5fe,The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,11222 S La Cienega Blvd,11222 S La Cienega Blvd Ste 254,Inglewood,CA,professional_services,key_and_locksmith,0.9763829787234043,0.77,conflict,"",""
08f2f5aad8571cc003ec4c15ae9307de,日本貿易振興機構・ジェトロ,日本貿易振興機構 (JETRO),東京都港区赤坂１丁目１２−３２,赤坂1-12-32,港区,,central_government_office,Community and Government > Government Building,0.9544061302681992,1.0,conflict,"",""
08f2a9370c8a005a03ef10a30f50345f,Raising Cane's,Raising Cane's Chicken Fingers,8020 Burlington Pike,8020 Burlington Pike,Florence,KY,fast_food_restaurant,chicken_wings_restaurant,0.9962614185921548,0.77,conflict,"",""
