id,conflict_class,alt_raw,base_raw,alt_digits,base_digits,alt_digit_len,base_digit_len,alt_confidence,base_confidence,confidence_diff,confidence_gap,higher_confidence_side
08fad3618e4a04ea032d5d60f42d16aa,alt_only,"[""+27210075588""]",,27210075588,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08f1e002d2532416034e929d26e8c0f7,alt_only,"[""0901961553""]",,0901961553,"",10,0,0.8806,1.0,-0.1194,0.1194,base
08f4994ad3c34a0003b71debc06f2bad,alt_only,"[""+522222427500""]",,522222427500,"",12,0,0.8973,1.0,-0.1027,0.1027,base
08f392a84676c3560380168c72f33b46,alt_only,"[""+34983801434""]",,34983801434,"",11,0,0.9097,1.0,-0.0903,0.0903,base
08f64a4a728c04f303683f7ce94ba32b,alt_only,"[""+66947763422""]",,66947763422,"",11,0,0.9143,1.0,-0.0857,0.0857,base
08f1eb52136466110372311b39f89b9c,alt_only,"[""+393911478397""]",,393911478397,"",12,0,0.9147,1.0,-0.0853,0.0853,base
08f499585ec4bb6c036a891e6d2ef613,alt_only,"[""+525529520212""]",,525529520212,"",12,0,0.9147,1.0,-0.0853,0.0853,base
08f4995b8c8e572103a6b2d5f746203d,alt_only,"[""+525510841400""]",,525510841400,"",12,0,0.9147,1.0,-0.0853,0.0853,base
08f6d231146cbb8203a6b43c5463e884,alt_only,"[""+529611705432""]",,529611705432,"",12,0,0.9147,1.0,-0.0853,0.0853,base
08f1e880c6d2a21a03dad9931d6666c6,alt_only,"[""+390802223130""]",,390802223130,"",12,0,0.9254,1.0,-0.0746,0.0746,base
08f4995ba06309a80335644dd186b4b6,alt_only,"[""+525554328377""]",,525554328377,"",12,0,0.9254,1.0,-0.0746,0.0746,base
08f49aa86aa4519a038f686a7731008d,alt_only,"[""+523414132334""]",,523414132334,"",12,0,0.9254,1.0,-0.0746,0.0746,base
08f2aad39c474c9c03e6e7b74bca7273,alt_only,"[""+13026457779""]",,13026457779,"",11,0,0.9837,0.9097,0.074,0.074,alt
08fa81025946ecc103d1b16a27945070,alt_only,"[""+551144090000""]",,551144090000,"",12,0,0.9385,1.0,-0.0615,0.0615,base
08fa810c0b8162210323acfef0469761,alt_only,"[""+5513996213384""]",,5513996213384,"",13,0,0.9385,1.0,-0.0615,0.0615,base
08f1f99cd90138550319409766ad93da,alt_only,"[""+390254118298""]",,390254118298,"",12,0,0.9446,1.0,-0.0554,0.0554,base
08f29a4c756c0a6a03806f24e601e3ff,alt_only,"[""+526645206347""]",,526645206347,"",12,0,0.9446,1.0,-0.0554,0.0554,base
08f4995b1028b2210322fef4bce0aa96,alt_only,"[""+525552458422""]",,525552458422,"",12,0,0.9446,1.0,-0.0554,0.0554,base
08f4995b9471b0a40338d22b662d5a58,alt_only,"[""+525543130097""]",,525543130097,"",12,0,0.9446,1.0,-0.0554,0.0554,base
08f4995b9cb4b0c803d12af5825ac267,alt_only,"[""+528181580711""]",,528181580711,"",12,0,0.9446,1.0,-0.0554,0.0554,base
08f60a259b84036a037914eb4b09ff55,alt_only,"[""+919441255089""]",,919441255089,"",12,0,0.9446,1.0,-0.0554,0.0554,base
08f6d20cdc22b60003f00f48b996c255,alt_only,"[""+525552619800""]",,525552619800,"",12,0,0.9446,1.0,-0.0554,0.0554,base
08f18627ad9a9c9503be1254988406fa,alt_only,"[""+33782552440""]",,33782552440,"",11,0,0.9468,1.0,-0.0532,0.0532,base
08f1969045565263037bc7b1b7bf1e37,alt_only,"[""+31318743333""]",,31318743333,"",11,0,0.9468,1.0,-0.0532,0.0532,base
08f1f8eb30a4962d0314c131404d68cc,alt_only,"[""+49751823405""]",,49751823405,"",11,0,0.9468,1.0,-0.0532,0.0532,base
08f2e1a694d262c003bb7b0266c82320,alt_only,"[""+81166348244""]",,81166348244,"",11,0,0.9468,1.0,-0.0532,0.0532,base
08f2e61201a45609033e25ce75cebc54,alt_only,"[""+81789458300""]",,81789458300,"",11,0,0.9468,1.0,-0.0532,0.0532,base
08f4994ad278dba2030555b24af2a5ad,alt_only,"[""+525545109999""]",,525545109999,"",12,0,0.9468,1.0,-0.0532,0.0532,base
08f499586b644a620342160687c22f5f,alt_only,"[""+525576381296""]",,525576381296,"",12,0,0.9468,1.0,-0.0532,0.0532,base
08f2e74958751a8003219681a84e0f4e,alt_only,"[""+81485240089""]",,81485240089,"",11,0,0.9544,1.0,-0.0456,0.0456,base
08f390ca05845b1e035f3debc9e06d88,alt_only,"[""+34643306022""]",,34643306022,"",11,0,0.9544,1.0,-0.0456,0.0456,base
08f499585c4ce41503cf805cb76dc7a9,alt_only,"[""+525556569663""]",,525556569663,"",12,0,0.9544,1.0,-0.0456,0.0456,base
08f4ba9009da40d503ac39796eaf87d8,alt_only,"[""+81980728687""]",,81980728687,"",11,0,0.9544,1.0,-0.0456,0.0456,base
08f184685618614b03a2873cbfc0d0a4,alt_only,"[""+33630561901""]",,33630561901,"",11,0,0.9645,1.0,-0.0355,0.0355,base
08f194d9139a9b620356b2f277cd2741,alt_only,"[""+31118410031""]",,31118410031,"",11,0,0.9645,1.0,-0.0355,0.0355,base
08f1e8052a66522e03092d1ebca3cc32,alt_only,"[""+3906121125495""]",,3906121125495,"",13,0,0.9645,1.0,-0.0355,0.0355,base
08f1e86a833801290324a82fdf51cf13,alt_only,"[""+39076624469""]",,39076624469,"",11,0,0.9645,1.0,-0.0355,0.0355,base
08f1e8828ac4a04b03e9df4bbc9c6e7f,alt_only,"[""+393513136226""]",,393513136226,"",12,0,0.9645,1.0,-0.0355,0.0355,base
08f1fa4c582b323403c3e5a37961c3f9,alt_only,"[""+3232273616""]",,3232273616,"",10,0,0.9645,1.0,-0.0355,0.0355,base
08f1fa6d2a82c6c6030a05ff16f85396,alt_only,"[""+33327486986""]",,33327486986,"",11,0,0.9645,1.0,-0.0355,0.0355,base
08f29a401d62442903fec68faae96b67,alt_only,"[""+18588223273""]",,18588223273,"",11,0,0.9645,1.0,-0.0355,0.0355,base
08f4983ca438bc5b033bac5a072fa3cd,alt_only,"[""+524425612935""]",,524425612935,"",12,0,0.9645,1.0,-0.0355,0.0355,base
08f498c9acd70c4003a8557a61210d68,alt_only,"[""+523737353092""]",,523737353092,"",12,0,0.9645,1.0,-0.0355,0.0355,base
08f499584096653303edab0db7e2b9ab,alt_only,"[""+525556554896""]",,525556554896,"",12,0,0.9645,1.0,-0.0355,0.0355,base
08f4995b9d4208a20380224da236338f,alt_only,"[""+525583202020""]",,525583202020,"",12,0,0.9645,1.0,-0.0355,0.0355,base
08f2e6151a723c5103d08e98e7ded4a2,alt_only,"[""+81775657116""]",,81775657116,"",11,0,0.9649,1.0,-0.0351,0.0351,base
08f6526ac3349c4203dc0d7cba6549d6,alt_only,"[""+6594752559""]",,6594752559,"",10,0,0.9649,1.0,-0.0351,0.0351,base
08f2b012cc75b39b03fce7c942009cfc,alt_only,"[""+19024681826""]",,19024681826,"",11,0,0.9828,1.0,-0.0172,0.0172,base
08f182c15216d16203e6f58c621d500b,alt_only,"[""+35314510438""]",,35314510438,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f1f88b7202396b039421a666dddf20,alt_only,"[""+498171217782""]",,498171217782,"",12,0,0.9837,1.0,-0.0163,0.0163,base
08f1f9020c252d8d035f6ab8998d7212,alt_only,"[""+33892682304""]",,33892682304,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f265b4a49aad8403c807ff79640e5b,alt_only,"[""+15018515350""]",,15018515350,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f2663a6e140095038779db6731c181,alt_only,"[""+18129172558""]",,18129172558,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f2681a5dd0d6b303b66abf759ffcae,alt_only,"[""+13034272128""]",,13034272128,"",11,0,0.9837,1.0,-0.0163,0.0163,base
08f268526bb45af50340c28883fc0c36,alt_only,"[""+19704989070""]",,19704989070,"",11,0,0.9837,1.0,-0.0163,0.0163,base
